Item1,Item2
59.508928,637933897038744064
59.970016,637933897043353728
60.102848,637933897044683904
60.436416,637933897048014592
60.58048,637933897049464832
60.984736,637933897053504384
61.152384,637933897055185408
62.073312,637933897064386944
62.233056,637933897065985536
62.543488,637933897069096960
62.62768,637933897069937536
63.01072,637933897073767552
63.1208,637933897074866944
63.425248,637933897077907456
63.52656,637933897078926976
64.126208,637933897084919424
64.288896,637933897086547712
64.43488,637933897088008320
64.561312,637933897089270528
64.85808,637933897092242560
64.994016,637933897093599232
65.289088,637933897096549760
65.405536,637933897097718784
65.715296,637933897100810240
65.827936,637933897101940224
66.271808,637933897106380160
66.39824,637933897107640320
66.782048,637933897111480576
66.899072,637933897112651008
67.074848,637933897114411136
67.182432,637933897115481728
67.58416,637933897119502336
67.70128,637933897120671616
68.00272,637933897123691520
68.138432,637933897125052288
68.246176,637933897126121600
68.386976,637933897127531776
68.62272,637933897129893888
68.777344,637933897131432704
68.947616,637933897133144576
69.104992,637933897134716800
69.21616,637933897135830016
69.348448,637933897137154176
69.474592,637933897138414848
69.640384,637933897140063360
69.726368,637933897140924416
69.876832,637933897142434432
70.004832,637933897143714816
70.148448,637933897145153792
70.241312,637933897146074496
70.376832,637933897147435904
70.509664,637933897148766208
70.640864,637933897150075392
70.896768,637933897152636416
71.066496,637933897154335232
71.258432,637933897156245888
71.415808,637933897157824896
71.556864,637933897159235968
71.70608,637933897160724992
71.840864,637933897162076672
71.989568,637933897163566208
72.098624,637933897164656128
72.229728,637933897165968128
72.366624,637933897167336960
72.47184,637933897168387072
72.597024,637933897169636096
72.741152,637933897171076736
73.03952,637933897174066432
73.199488,637933897175667712
73.74496,637933897181118592
73.902848,637933897182698624
74.333056,637933897186998016
74.477824,637933897188488448
